,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
\outl0\strokewidth0 \strokec2 IDStudent,IDStudUnique,IDClass,TextName,NrRelSkipped\,NrRelCorrectOrder
8I1F,8I1FH3B,H3B,Beton,3\,1
11I6F,11I6FH3E,H3E,Beton,\,0
12I5F,12I5FA3,A3,Beton,\,1
13I6F,13I6FA3,A3,Beton,\,1
20I2F,20I2F3VA,3VA,Beton,2\,2
20I2F,20I2FV3D,V3D,Beton,\,2
20I6F,20I6FH3D,H3D,Beton,\,1
27I6F,27I6F3G2,3G2,Beton,2\,2
5I1O,5I1OH3C,H3C,Beton,\,0
8I1F,8I1FA3,A3,Beton,\,1
8I5F,8I5F3A1,3A1,Beton,2\,2
8I6F,8I6FH3E,H3E,Beton,\,1
11I4F,11I4FA3,A3,Beton,\,2
13I5F,13I5FHC3,HC3,Beton,\,1
14I4F,14I4FG3,G3,Beton,\,2
20I5F,20I5FH3B,H3B,Beton,2\,2
26I6F,26I6FA3A,A3A,Beton,1\,3
4I3O,4I3O3VA,3VA,Beton,1\,3
10I4F,10I4F3G2,3G2,Beton,1\,3
11I1F,11I1F3G2,3G2,Beton,1\,3
11I2F,11I2F3TT1,3TT1,Beton,1\,3
11I2F,11I2FH3B,H3B,Beton,2\,2
11I3F,11I3F3GA1,3GA1,Beton,1\,3
11I3F,11I3FHC3,HC3,Beton,\,3
11I5F,11I5FG3,G3,Beton,\,3
11I6F,11I6FV3D,V3D,Beton,\,2
12I4F,12I4FHC3,HC3,Beton,\,2
14I3F,14I3F3A1,3A1,Beton,1\,3
14I5F,14I5F3TT1,3TT1,Beton,1\,3
16I1F,16I1F3G2,3G2,Beton,2\,2
17I2F,17I2F3TT1,3TT1,Beton,2\,2
17I6F,17I6FV3D,V3D,Beton,\,2
19I4F,19I4F3GA1,3GA1,Beton,2\,2
19I5F,19I5F3AB,3AB,Beton,\,3
20I6F,20I6FG3,G3,Beton,\,3
2I3O,2I3O2VB,2VB,Beton,1\,3
2I5O,2I5O3TT1,3TT1,Beton,2\,2
2I6F,2I6FH3B,H3B,Beton,1\,3
4I2O,4I2O3G2,3G2,Beton,2\,2
5I1F,5I1FH3A,H3A,Beton,2\,2
5I2F,5I2F3TT1,3TT1,Beton,2\,2
5I3O,5I3OV3D,V3D,Beton,\,2
5I5F,5I5F3A3,3A3,Beton,2\,2
7I5F,7I5F3VA,3VA,Beton,1\,3
8I3F,8I3F2VB,2VB,Beton,2\,2
8I5F,8I5FH3C,H3C,Beton,\,4
9I3F,9I3F3A3,3A3,Beton,2\,2
10I2F,10I2FHC3,HC3,Beton,\,1
11I3F,11I3F3VA,3VA,Beton,3\,1
11I4F,11I4FH3C,H3C,Beton,\,2
11I5F,11I5F3A1,3A1,Beton,3\,1
11I5F,11I5FH3A,H3A,Beton,3\,1
11I6F,11I6F2VB,2VB,Beton,2\,2
14I3F,14I3FA3A,A3A,Beton,2\,2
14I4F,14I4F3G2,3G2,Beton,4\,0
14I4O,14I4OH3D,H3D,Beton,\,0
14I5F,14I5F3AB,3AB,Beton,\,3
14I5F,14I5FH3B,H3B,Beton,2\,2
15I3F,15I3F3A3,3A3,Beton,3\,1
15I3F,15I3FA3,A3,Beton,\,1
17I1F,17I1F3GA1,3GA1,Beton,2\,2
17I1F,17I1F3VA,3VA,Beton,2\,2
17I2F,17I2FH3D,H3D,Beton,\,1
17I3F,17I3F3AB,3AB,Beton,\,2
17I5F,17I5FH3E,H3E,Beton,\,0
17I6F,17I6F2VB,2VB,Beton,2\,2
17I6F,17I6FH3C,H3C,Beton,\,2
18I4F,18I4F3GA1,3GA1,Beton,2\,2
19I1F,19I1F3A3,3A3,Beton,2\,2
